epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.821,1.61276,1.00472,1.12399,0.88383,0.76841,0.85426,0.48031,1.51102,0.87123,1.14264,0.0802359,0.000199637,0.000199637
2,291.459,1.52785,0.82906,1.08283,0.85791,0.77784,0.85048,0.47301,1.50525,0.84539,1.14451,0.060434,0.000397659,0.000397659
3,433.744,1.51618,0.82263,1.08456,0.88923,0.82537,0.89427,0.50926,1.42801,0.74463,1.09637,0.04063,0.000593701,0.000593701
4,575.101,1.5162,0.80635,1.07682,0.89095,0.8224,0.89106,0.49622,1.44282,0.82565,1.11323,0.0208241,0.000787762,0.000787762
5,719.604,1.49948,0.7866,1.07302,0.89172,0.84022,0.90184,0.52182,1.42271,0.73609,1.10229,0.00101614,0.000979844,0.000979844
6,857.969,1.48707,0.77705,1.06627,0.90657,0.84191,0.90973,0.52881,1.41746,0.70726,1.09667,0.00097525,0.00097525,0.00097525
7,995.059,1.46769,0.7535,1.06045,0.90527,0.84786,0.91066,0.53532,1.39872,0.70301,1.0812,0.0009703,0.0009703,0.0009703
8,1138.62,1.45843,0.74118,1.05617,0.91074,0.86291,0.91917,0.53388,1.3893,0.67781,1.08247,0.00096535,0.00096535,0.00096535
9,1276.95,1.43953,0.7252,1.05548,0.90686,0.85367,0.9168,0.54162,1.38902,0.67331,1.08066,0.0009604,0.0009604,0.0009604
10,1414.1,1.43609,0.71434,1.04914,0.91449,0.85935,0.9205,0.54282,1.38291,0.67035,1.08932,0.00095545,0.00095545,0.00095545
11,1556.59,1.4383,0.70619,1.04623,0.91688,0.87249,0.92883,0.55472,1.36916,0.63868,1.06982,0.0009505,0.0009505,0.0009505
12,1698.73,1.42046,0.69712,1.04036,0.90505,0.87135,0.9261,0.54584,1.38552,0.65865,1.08881,0.00094555,0.00094555,0.00094555
13,1838.55,1.4292,0.69975,1.04219,0.9192,0.86769,0.93075,0.56154,1.35985,0.63283,1.0705,0.0009406,0.0009406,0.0009406
14,1977.6,1.41859,0.68924,1.03978,0.92249,0.87633,0.93094,0.55926,1.36452,0.62681,1.06541,0.00093565,0.00093565,0.00093565
15,2117.76,1.413,0.6866,1.03575,0.92505,0.87459,0.9331,0.56509,1.3572,0.62061,1.06393,0.0009307,0.0009307,0.0009307
16,2261.22,1.39597,0.67508,1.03345,0.92388,0.87673,0.93401,0.56668,1.34827,0.62295,1.0578,0.00092575,0.00092575,0.00092575
17,2400.89,1.39869,0.67148,1.03559,0.91694,0.87865,0.93317,0.56945,1.34335,0.61571,1.06214,0.0009208,0.0009208,0.0009208
18,2538.19,1.3946,0.66384,1.02976,0.92522,0.87647,0.93566,0.56862,1.34008,0.61355,1.05586,0.00091585,0.00091585,0.00091585
19,2674.67,1.39073,0.66213,1.0329,0.93394,0.87299,0.93469,0.56815,1.33908,0.60959,1.05978,0.0009109,0.0009109,0.0009109
20,2808.28,1.39108,0.66096,1.03015,0.91592,0.88119,0.93559,0.56819,1.34017,0.60764,1.05947,0.00090595,0.00090595,0.00090595
21,2941.57,1.37345,0.65278,1.02537,0.92489,0.88585,0.9381,0.57372,1.33463,0.59876,1.05851,0.000901,0.000901,0.000901
22,3075.2,1.38539,0.65318,1.02519,0.92433,0.88759,0.93968,0.57571,1.33265,0.59795,1.05681,0.00089605,0.00089605,0.00089605
23,3208.19,1.37964,0.64873,1.02214,0.92501,0.88807,0.93989,0.57642,1.32264,0.58832,1.04973,0.0008911,0.0008911,0.0008911
24,3341.51,1.36872,0.64105,1.02032,0.92406,0.89095,0.9425,0.5787,1.32885,0.58527,1.05335,0.00088615,0.00088615,0.00088615
25,3474.94,1.36994,0.639,1.02151,0.92838,0.88526,0.93999,0.57714,1.32474,0.59131,1.04929,0.0008812,0.0008812,0.0008812
26,3608.03,1.37468,0.63861,1.02064,0.92389,0.89119,0.94276,0.57967,1.32706,0.58424,1.04968,0.00087625,0.00087625,0.00087625
27,3741.82,1.36263,0.63374,1.0195,0.92729,0.8907,0.94399,0.58272,1.32254,0.5783,1.04584,0.0008713,0.0008713,0.0008713
28,3874.92,1.36741,0.6359,1.01431,0.92879,0.8948,0.94311,0.58058,1.32224,0.5779,1.04627,0.00086635,0.00086635,0.00086635
29,4007.89,1.35816,0.63253,1.01773,0.92537,0.8938,0.94537,0.5835,1.32384,0.57463,1.05315,0.0008614,0.0008614,0.0008614
30,4141.29,1.35625,0.62484,1.01842,0.92585,0.89466,0.94481,0.58652,1.31474,0.5716,1.04261,0.00085645,0.00085645,0.00085645
31,4274.47,1.3511,0.62543,1.01818,0.93132,0.89193,0.94411,0.58606,1.31192,0.57176,1.04731,0.0008515,0.0008515,0.0008515
32,4407.86,1.35001,0.62204,1.01499,0.92811,0.89439,0.94556,0.5859,1.31224,0.56887,1.04879,0.00084655,0.00084655,0.00084655
33,4540.91,1.34544,0.61763,1.01185,0.92918,0.89595,0.94687,0.58888,1.31305,0.56743,1.04557,0.0008416,0.0008416,0.0008416
34,4673.61,1.34785,0.61981,1.01286,0.92629,0.89921,0.9478,0.58812,1.30936,0.56703,1.04382,0.00083665,0.00083665,0.00083665
35,4807.12,1.34912,0.61547,1.01216,0.92971,0.8948,0.94724,0.58789,1.30975,0.56354,1.04215,0.0008317,0.0008317,0.0008317
36,4940.91,1.3453,0.61285,1.00894,0.93193,0.89763,0.94808,0.59032,1.30647,0.55826,1.04147,0.00082675,0.00082675,0.00082675
37,5074.3,1.34466,0.61657,1.01379,0.92522,0.90023,0.94768,0.58955,1.30506,0.56445,1.04128,0.0008218,0.0008218,0.0008218
38,5207.58,1.33999,0.60845,1.00786,0.93343,0.89962,0.94915,0.59133,1.30571,0.55496,1.04115,0.00081685,0.00081685,0.00081685
39,5340.57,1.34309,0.60575,1.00543,0.92836,0.90211,0.94808,0.59045,1.30649,0.55816,1.04148,0.0008119,0.0008119,0.0008119
40,5474.07,1.33643,0.60792,1.00534,0.93221,0.90264,0.95031,0.59218,1.30476,0.55191,1.04008,0.00080695,0.00080695,0.00080695
41,5607.31,1.32909,0.60157,1.00644,0.93272,0.90164,0.94891,0.59256,1.30323,0.55236,1.04092,0.000802,0.000802,0.000802
42,5740.02,1.33433,0.60066,1.00296,0.93121,0.90136,0.94926,0.59408,1.3017,0.54976,1.04055,0.00079705,0.00079705,0.00079705
43,5873.48,1.33313,0.59685,1.0065,0.9299,0.90382,0.94943,0.59513,1.29575,0.54656,1.04115,0.0007921,0.0007921,0.0007921
44,6007.16,1.32852,0.59695,1.00441,0.93399,0.90279,0.9511,0.59653,1.2956,0.544,1.03701,0.00078715,0.00078715,0.00078715
45,6140.97,1.33574,0.60085,1.00475,0.93307,0.90092,0.95094,0.59673,1.29845,0.54454,1.03848,0.0007822,0.0007822,0.0007822
46,6274.48,1.31975,0.59319,1.00182,0.9315,0.90515,0.95157,0.59644,1.29866,0.54177,1.03908,0.00077725,0.00077725,0.00077725
47,6408.32,1.32095,0.59081,1.00238,0.93256,0.90565,0.95162,0.59921,1.29458,0.53994,1.03646,0.0007723,0.0007723,0.0007723
48,6541.83,1.31495,0.5901,1.00016,0.93389,0.90471,0.95164,0.59924,1.29064,0.54144,1.03654,0.00076735,0.00076735,0.00076735
49,6675.56,1.32354,0.58973,1.00067,0.9336,0.90335,0.95199,0.59886,1.29344,0.53812,1.03604,0.0007624,0.0007624,0.0007624
50,6808.74,1.31004,0.58748,1.00351,0.93082,0.90706,0.95192,0.59951,1.29289,0.54018,1.03952,0.00075745,0.00075745,0.00075745
51,6941.95,1.31605,0.58515,1.00234,0.93181,0.90756,0.95202,0.59989,1.29294,0.53793,1.0398,0.0007525,0.0007525,0.0007525
52,7075.57,1.3108,0.58516,0.99971,0.93498,0.90395,0.95258,0.6002,1.29515,0.53695,1.04077,0.00074755,0.00074755,0.00074755
53,7208.39,1.30972,0.58285,0.9981,0.93565,0.90563,0.95246,0.60153,1.2931,0.53426,1.03752,0.0007426,0.0007426,0.0007426
54,7342.31,1.31203,0.58402,0.99701,0.93448,0.90816,0.95289,0.60105,1.29026,0.53468,1.03415,0.00073765,0.00073765,0.00073765
55,7475.86,1.30601,0.58083,0.99783,0.93449,0.90722,0.95248,0.6032,1.29045,0.53311,1.0351,0.0007327,0.0007327,0.0007327
56,7609.35,1.29931,0.5758,0.99672,0.93395,0.90613,0.95206,0.6011,1.28938,0.53223,1.03668,0.00072775,0.00072775,0.00072775
57,7742.62,1.30579,0.57701,0.99658,0.93363,0.90694,0.95325,0.60249,1.28924,0.53327,1.03854,0.0007228,0.0007228,0.0007228
58,7875.65,1.30063,0.57332,0.99599,0.93477,0.90567,0.95328,0.60242,1.28746,0.53305,1.03702,0.00071785,0.00071785,0.00071785
59,8008.94,1.3027,0.57402,0.99689,0.93322,0.90679,0.9532,0.60374,1.2883,0.53257,1.03497,0.0007129,0.0007129,0.0007129
60,8142.43,1.29133,0.56943,0.9945,0.93544,0.90756,0.95347,0.60361,1.28871,0.53088,1.03465,0.00070795,0.00070795,0.00070795
61,8275.45,1.28863,0.56893,0.99127,0.93216,0.90929,0.95325,0.60412,1.28771,0.52876,1.0338,0.000703,0.000703,0.000703
62,8408.65,1.28597,0.56893,0.99109,0.93301,0.91202,0.95366,0.60535,1.28577,0.52837,1.03235,0.00069805,0.00069805,0.00069805
63,8542,1.29081,0.56886,0.99023,0.93163,0.91242,0.9539,0.60554,1.28566,0.52545,1.03168,0.0006931,0.0006931,0.0006931
64,8675.21,1.294,0.57051,0.98998,0.93458,0.90887,0.95404,0.60577,1.28485,0.52607,1.03286,0.00068815,0.00068815,0.00068815
65,8808.59,1.2816,0.56177,0.98912,0.93195,0.91236,0.95464,0.60598,1.28456,0.52528,1.0322,0.0006832,0.0006832,0.0006832
66,8941.4,1.27922,0.56505,0.98961,0.93366,0.91022,0.95433,0.60624,1.28466,0.52393,1.02963,0.00067825,0.00067825,0.00067825
67,9074.73,1.28072,0.562,0.9873,0.93287,0.91232,0.95558,0.60662,1.28532,0.52365,1.03204,0.0006733,0.0006733,0.0006733
68,9208.03,1.28616,0.56152,0.99014,0.93519,0.90994,0.95485,0.60673,1.28374,0.52491,1.03298,0.00066835,0.00066835,0.00066835
69,9341.2,1.28732,0.56018,0.98548,0.93501,0.91045,0.95532,0.60716,1.28317,0.52518,1.03241,0.0006634,0.0006634,0.0006634
70,9474.25,1.27226,0.55692,0.98428,0.93278,0.91208,0.95535,0.60712,1.28387,0.52392,1.03097,0.00065845,0.00065845,0.00065845
71,9607.48,1.27683,0.55956,0.98356,0.93478,0.91064,0.95528,0.60684,1.2847,0.52355,1.03193,0.0006535,0.0006535,0.0006535
72,9740.86,1.27897,0.55639,0.98689,0.936,0.90887,0.95537,0.60699,1.28444,0.52246,1.03198,0.00064855,0.00064855,0.00064855
73,9874.17,1.27699,0.55669,0.98374,0.93773,0.90852,0.95524,0.60709,1.28459,0.52203,1.03273,0.0006436,0.0006436,0.0006436
74,10007.4,1.27223,0.55126,0.98118,0.93748,0.91093,0.95525,0.60723,1.28584,0.52119,1.03221,0.00063865,0.00063865,0.00063865
75,10140.3,1.2696,0.55282,0.98073,0.93663,0.91189,0.95513,0.60824,1.28446,0.51981,1.03076,0.0006337,0.0006337,0.0006337
76,10273.3,1.26931,0.55184,0.98253,0.93516,0.91132,0.95528,0.60833,1.28345,0.52048,1.03055,0.00062875,0.00062875,0.00062875
77,10406.3,1.2723,0.55109,0.98155,0.93351,0.91352,0.95505,0.60928,1.28306,0.51995,1.02951,0.0006238,0.0006238,0.0006238
78,10539.5,1.27156,0.55097,0.98268,0.93536,0.91253,0.95488,0.60989,1.28194,0.5202,1.0291,0.00061885,0.00061885,0.00061885
79,10673.2,1.26628,0.54689,0.98119,0.93519,0.91309,0.95515,0.60926,1.2824,0.51964,1.02904,0.0006139,0.0006139,0.0006139
80,10806.3,1.25771,0.54532,0.97753,0.93645,0.91267,0.95481,0.60919,1.28237,0.51898,1.02942,0.00060895,0.00060895,0.00060895
81,10939.4,1.25915,0.54376,0.97696,0.93758,0.91159,0.95534,0.60911,1.28287,0.51908,1.03035,0.000604,0.000604,0.000604
82,11072.5,1.26614,0.54734,0.9788,0.93643,0.91315,0.95583,0.60894,1.28336,0.51927,1.03006,0.00059905,0.00059905,0.00059905
83,11205.3,1.25553,0.54416,0.98018,0.9355,0.91204,0.95541,0.60897,1.28405,0.51945,1.03051,0.0005941,0.0005941,0.0005941
84,11338,1.25439,0.54252,0.97698,0.93549,0.91377,0.95559,0.60888,1.28434,0.519,1.03034,0.00058915,0.00058915,0.00058915
85,11470.6,1.25609,0.54137,0.97563,0.93598,0.91407,0.95585,0.6094,1.28393,0.51856,1.03009,0.0005842,0.0005842,0.0005842
86,11604.3,1.25702,0.54379,0.98147,0.93514,0.91497,0.95595,0.60917,1.28366,0.5186,1.03122,0.00057925,0.00057925,0.00057925
87,11738.1,1.24988,0.54046,0.97698,0.93412,0.91448,0.95573,0.60948,1.28345,0.51719,1.03175,0.0005743,0.0005743,0.0005743
88,11870.4,1.24475,0.53439,0.9744,0.9343,0.91499,0.95559,0.60952,1.28323,0.51721,1.03171,0.00056935,0.00056935,0.00056935
89,12003.7,1.24707,0.53419,0.97483,0.9335,0.91655,0.95555,0.60962,1.28366,0.51752,1.03188,0.0005644,0.0005644,0.0005644
90,12136.7,1.24383,0.53129,0.97562,0.93402,0.91485,0.95539,0.6098,1.28354,0.51713,1.03157,0.00055945,0.00055945,0.00055945
91,12269.6,1.24238,0.5315,0.97361,0.93613,0.91345,0.9554,0.60959,1.28281,0.51672,1.03082,0.0005545,0.0005545,0.0005545
92,12403.5,1.24856,0.5346,0.97357,0.93543,0.91333,0.9556,0.61006,1.28292,0.5162,1.03108,0.00054955,0.00054955,0.00054955
93,12537.2,1.24031,0.534,0.97388,0.93747,0.91272,0.95596,0.61045,1.28321,0.51601,1.03153,0.0005446,0.0005446,0.0005446
94,12671.8,1.23155,0.52686,0.97184,0.93572,0.91409,0.95622,0.61045,1.28312,0.51525,1.03162,0.00053965,0.00053965,0.00053965
95,12804.7,1.23222,0.52861,0.97156,0.93487,0.91523,0.9562,0.61021,1.28332,0.51506,1.03199,0.0005347,0.0005347,0.0005347
96,12937.1,1.23325,0.52617,0.96949,0.93598,0.91481,0.95662,0.61045,1.28343,0.51481,1.03172,0.00052975,0.00052975,0.00052975
